Compound,Year,CASN,AcuteFish,ChronicFish,AcuteInvert,ChronicInvert,AcuteNonvascularPlants,AcuteVascularPlants,MaxConcAquaticLifeCriteriaCMC,ContinuousConcAquaticLifeCriteriaCCC
1-Naphthalene acetic acid (NAA),2015,86-87-3,14000,,90000,,,,,
1-Naphthalene acetic acid ammonium salt,2015,25545-89-5,,,,,14900,,,
1-Naphthalene acetic acid ethyl ester,2015,2122-70-5,1340,,2840,,,,,
1-Naphthalene acetic acid potassium salt,2015,15165-79-4,,,,,,5100,,
"2,4-D",2014,94-75-7,,,12500,,,,,
"2,4-D acids and salts",,94-75-7,12075,14200,12500,16050,3880,13.1,,
"2,4-D esters",,,130,79.2,1100,200,66,330,,
"2,4-D, 2-ethylhexyl ester",2014,1928-43-4,,79.2,1700,,152,330,,
"2,4-D, Butoxyethyl ester",2014,1929-73-3,214,,,200,,,,
"2,4-D, Diethanolamine salt",2014,5742-19-8,> 40800,,,16050,,299.2,,
"2,4-D, Dimethylamine salt",2014,2008-39-1,139000,23600,,,3880,,,
"2,4-D, Isopropyl ester",2014,94-11-1,130,,1100,,,,,
"2,4-DB",,94-82-6,1000,,7500,,932,,,
"2,4-DB-DMAS",,2758-42-1,1567,,10150,,,,,
"3, 6-dichlorosalicylic acid (DCSA)",,3401-80-7,> 50000,,44500,,138000,> 73000,,
3-chloroacrylic acid degradate of Telone,,,34750,,27500,,430,220,,
3-chloroallyl alcohol degradate of Telone,,,493,,1150,,32900,1694,,
3-Trifluoromethyl-4-Nitrophenol (TFM),2013,88-30-2,300,,1900,,1200,,,
Abamectin,2014,71751-41-2,1.6,0.52,0.17,,> 100000,3900,,
Acephate,,30560-19-1,416000,5760,550,150,> 50000,,,
Acequinocyl,,57960-19-7,33500,520,1.2,0.98,960,,,
Acetaminophen,2015,103-90-2,,,14750,,,,,
Acetamiprid,2013,135410-20-7,> 50000,19200,10.5,2.1,> 1000,> 1000,,
Acetic acid,2016,64-19-7,151500,,32500,,,844300,,
Acetochlor,,34256-82-1,190,130,4100,22.1,1.43,3.4,,
